"Laikotarpis","Rodiklis","Amžius","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Moterys","asmenys","15805"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Vyrai ir moterys","asmenys","35608"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Vyrai","asmenys","18109"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Moterys","asmenys","17499"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Vyrai ir moterys","asmenys","36061"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Vyrai","asmenys","18218"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Moterys","asmenys","17843"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Vyrai ir moterys","asmenys","40640"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Vyrai","asmenys","20842"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","39","Miestas ir kaimas","Moterys","asmenys","19798"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Vyrai ir moterys","asmenys","33485"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Vyrai","asmenys","17129"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Moterys","asmenys","16356"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Vyrai ir moterys","asmenys","35320"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Vyrai","asmenys","17877"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Moterys","asmenys","17443"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Vyrai ir moterys","asmenys","35817"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Vyrai","asmenys","18270"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Moterys","asmenys","17547"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Vyrai ir moterys","asmenys","37775"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Vyrai","asmenys","19204"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","40","Miestas ir kaimas","Moterys","asmenys","18571"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Vyrai ir moterys","asmenys","33993"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Vyrai","asmenys","17271"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Moterys","asmenys","16722"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Vyrai ir moterys","asmenys","35620"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Vyrai","asmenys","17720"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Moterys","asmenys","17900"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Vyrai ir moterys","asmenys","35582"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Vyrai","asmenys","18107"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Moterys","asmenys","17475"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Vyrai ir moterys","asmenys","37384"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Vyrai","asmenys","19128"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","41","Miestas ir kaimas","Moterys","asmenys","18256"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Vyrai ir moterys","asmenys","34922"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Vyrai","asmenys","17681"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Moterys","asmenys","17241"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Vyrai ir moterys","asmenys","36017"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Vyrai","asmenys","17964"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Moterys","asmenys","18053"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Vyrai ir moterys","asmenys","35821"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Vyrai","asmenys","17925"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Moterys","asmenys","17896"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Vyrai ir moterys","asmenys","37023"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Vyrai","asmenys","18913"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","42","Miestas ir kaimas","Moterys","asmenys","18110"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Vyrai ir moterys","asmenys","35789"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Vyrai","asmenys","18023"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Moterys","asmenys","17766"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Vyrai ir moterys","asmenys","36478"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Vyrai","asmenys","18049"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Moterys","asmenys","18429"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Vyrai ir moterys","asmenys","36180"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Vyrai","asmenys","18085"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Moterys","asmenys","18095"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Vyrai ir moterys","asmenys","37083"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Vyrai","asmenys","18691"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","43","Miestas ir kaimas","Moterys","asmenys","18392"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Vyrai ir moterys","asmenys","36063"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Vyrai","asmenys","17876"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Moterys","asmenys","18187"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Vyrai ir moterys","asmenys","37069"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Vyrai","asmenys","18197"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Moterys","asmenys","18872"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Vyrai ir moterys","asmenys","36555"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Vyrai","asmenys","18145"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Moterys","asmenys","18410"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Vyrai ir moterys","asmenys","37268"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Vyrai","asmenys","18781"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","44","Miestas ir kaimas","Moterys","asmenys","18487"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Vyrai ir moterys","asmenys","36800"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Vyrai","asmenys","18070"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Moterys","asmenys","18730"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Vyrai ir moterys","asmenys","37025"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Vyrai","asmenys","18005"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Moterys","asmenys","19020"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Vyrai ir moterys","asmenys","37114"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Vyrai","asmenys","18268"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Moterys","asmenys","18846"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Vyrai ir moterys","asmenys","37572"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Vyrai","asmenys","18808"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","45","Miestas ir kaimas","Moterys","asmenys","18764"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Vyrai ir moterys","asmenys","37503"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Vyrai","asmenys","18558"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Moterys","asmenys","18945"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Vyrai ir moterys","asmenys","37523"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Vyrai","asmenys","18045"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Moterys","asmenys","19478"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Vyrai ir moterys","asmenys","37013"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Vyrai","asmenys","17992"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Moterys","asmenys","19021"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Vyrai ir moterys","asmenys","37971"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Vyrai","asmenys","18753"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","46","Miestas ir kaimas","Moterys","asmenys","19218"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Vyrai ir moterys","asmenys","39305"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Vyrai","asmenys","19224"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Moterys","asmenys","20081"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Vyrai ir moterys","asmenys","37970"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Vyrai","asmenys","18367"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Moterys","asmenys","19603"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Vyrai ir moterys","asmenys","37522"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Vyrai","asmenys","18067"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Moterys","asmenys","19455"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Vyrai ir moterys","asmenys","37787"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Vyrai","asmenys","18456"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","47","Miestas ir kaimas","Moterys","asmenys","19331"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Vyrai ir moterys","asmenys","41141"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Vyrai","asmenys","20227"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Moterys","asmenys","20914"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Vyrai ir moterys","asmenys","39960"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Vyrai","asmenys","19207"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Moterys","asmenys","20753"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Vyrai ir moterys","asmenys","37942"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Vyrai","asmenys","18375"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Moterys","asmenys","19567"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Vyrai ir moterys","asmenys","38163"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Vyrai","asmenys","18445"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","48","Miestas ir kaimas","Moterys","asmenys","19718"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Vyrai ir moterys","asmenys","40721"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Vyrai","asmenys","19814"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Moterys","asmenys","20907"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Vyrai ir moterys","asmenys","41584"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Vyrai","asmenys","20007"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Moterys","asmenys","21577"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Vyrai ir moterys","asmenys","39903"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Vyrai","asmenys","19169"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Moterys","asmenys","20734"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Vyrai ir moterys","asmenys","38530"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Vyrai","asmenys","18744"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","49","Miestas ir kaimas","Moterys","asmenys","19786"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Vyrai ir moterys","asmenys","40250"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Vyrai","asmenys","19530"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Moterys","asmenys","20720"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Vyrai ir moterys","asmenys","41503"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Vyrai","asmenys","19923"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Moterys","asmenys","21580"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Vyrai ir moterys","asmenys","41581"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Vyrai","asmenys","20019"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Moterys","asmenys","21562"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Vyrai ir moterys","asmenys","40409"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Vyrai","asmenys","19469"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","50","Miestas ir kaimas","Moterys","asmenys","20940"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Vyrai ir moterys","asmenys","40320"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Vyrai","asmenys","19293"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Moterys","asmenys","21027"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Vyrai ir moterys","asmenys","40953"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Vyrai","asmenys","19567"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Moterys","asmenys","21386"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Vyrai ir moterys","asmenys","41579"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Vyrai","asmenys","20006"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Moterys","asmenys","21573"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Vyrai ir moterys","asmenys","42036"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Vyrai","asmenys","20295"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","51","Miestas ir kaimas","Moterys","asmenys","21741"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Vyrai ir moterys","asmenys","40149"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Vyrai","asmenys","18914"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Moterys","asmenys","21235"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Vyrai ir moterys","asmenys","41281"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Vyrai","asmenys","19637"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Moterys","asmenys","21644"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Vyrai ir moterys","asmenys","40934"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Vyrai","asmenys","19577"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Moterys","asmenys","21357"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Vyrai ir moterys","asmenys","41908"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Vyrai","asmenys","20188"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","52","Miestas ir kaimas","Moterys","asmenys","21720"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Vyrai ir moterys","asmenys","40333"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Vyrai","asmenys","19127"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Moterys","asmenys","21206"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Vyrai ir moterys","asmenys","41028"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Vyrai","asmenys","19186"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Moterys","asmenys","21842"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Vyrai ir moterys","asmenys","41252"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Vyrai","asmenys","19628"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Moterys","asmenys","21624"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Vyrai ir moterys","asmenys","41125"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Vyrai","asmenys","19669"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","53","Miestas ir kaimas","Moterys","asmenys","21456"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Vyrai ir moterys","asmenys","40256"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Vyrai","asmenys","19149"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Moterys","asmenys","21107"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Vyrai ir moterys","asmenys","41301"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Vyrai","asmenys","19434"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Moterys","asmenys","21867"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Vyrai ir moterys","asmenys","40966"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Vyrai","asmenys","19155"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Moterys","asmenys","21811"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Vyrai ir moterys","asmenys","41457"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Vyrai","asmenys","19710"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","54","Miestas ir kaimas","Moterys","asmenys","21747"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Vyrai ir moterys","asmenys","41574"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Vyrai","asmenys","19627"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Moterys","asmenys","21947"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Vyrai ir moterys","asmenys","41154"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Vyrai","asmenys","19452"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Moterys","asmenys","21702"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Vyrai ir moterys","asmenys","41176"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Vyrai","asmenys","19354"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Moterys","asmenys","21822"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Vyrai ir moterys","asmenys","41002"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Vyrai","asmenys","19125"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","55","Miestas ir kaimas","Moterys","asmenys","21877"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Vyrai ir moterys","asmenys","42146"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Vyrai","asmenys","19692"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Moterys","asmenys","22454"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Vyrai ir moterys","asmenys","42384"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Vyrai","asmenys","19851"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Moterys","asmenys","22533"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Vyrai ir moterys","asmenys","41070"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Vyrai","asmenys","19384"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Moterys","asmenys","21686"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Vyrai ir moterys","asmenys","41160"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Vyrai","asmenys","19273"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","56","Miestas ir kaimas","Moterys","asmenys","21887"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Vyrai ir moterys","asmenys","43687"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Vyrai","asmenys","20180"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Moterys","asmenys","23507"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Vyrai ir moterys","asmenys","43257"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Vyrai","asmenys","20237"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Moterys","asmenys","23020"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Vyrai ir moterys","asmenys","42218"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Vyrai","asmenys","19708"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Moterys","asmenys","22510"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Vyrai ir moterys","asmenys","41007"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Vyrai","asmenys","19289"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","57","Miestas ir kaimas","Moterys","asmenys","21718"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Vyrai ir moterys","asmenys","45423"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Vyrai","asmenys","20668"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Moterys","asmenys","24755"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Vyrai ir moterys","asmenys","44933"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Vyrai","asmenys","20740"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Moterys","asmenys","24193"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Vyrai ir moterys","asmenys","42983"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Vyrai","asmenys","20023"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Moterys","asmenys","22960"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Vyrai ir moterys","asmenys","42056"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Vyrai","asmenys","19511"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","58","Miestas ir kaimas","Moterys","asmenys","22545"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","59","Miestas ir kaimas","Vyrai ir moterys","asmenys","44901"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","59","Miestas ir kaimas","Vyrai","asmenys","20289"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","59","Miestas ir kaimas","Moterys","asmenys","24612"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","59","Miestas ir kaimas","Vyrai ir moterys","asmenys","46846"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","59","Miestas ir kaimas","Vyrai","asmenys","21407"
